w0 w1 height_keep balance_keep mimic_q mimic_dq cmd_linear cmd_angular torque torque_d contact terminal 
0 0.78 9882.09 2440.73 49.2198 1254.52 202.808 6634.3 9669.21 9897.59 1398.79 0 
0 0.79 9905.35 3247.27 40.8642 1250.55 205.424 7168.8 9694.86 9893.29 1425.86 0 
0 0.8 9904.92 3639.61 34.605 1248.42 208.062 7668.02 9689.27 9882.54 1464.02 0 
0 0.81 9871.01 3491.15 29.6813 1248.13 210.288 7365.04 9674.23 9888.42 1308.92 0 
0 0.82 9798.67 3326.53 25.9381 1249.46 212.485 6892.58 9655.58 9878.23 1054.77 0 
0 0.83 9678.22 2894.58 23.1259 1247.37 214.138 6471.61 9630.96 9838.13 837.38 0 
0 0.839999 9699.66 4655.5 21.291 937.699 458.566 5406.03 9103.29 4907.12 427.35 0 
0 0.849999 9578.04 5159.72 19.7398 878.692 664.81 5392.05 9021.79 4364.19 405.528 0 
0 0.859999 9428.62 5526.65 18.4713 850.635 917.935 5507.82 8967.16 4010.57 367.103 0 
0 0.869999 9253.7 5852.54 17.3951 795.139 1266.11 5745.67 8923.79 3682.42 325.737 0 
0 0.879999 9039.04 6163.79 16.4556 777.51 1667.27 6074.73 8889.88 3481.98 297.737 0 
0 0.889999 8789.46 6458.81 15.6141 762.025 2096.88 6396.48 8858.05 3297.14 288.471 0 
0 0.899999 8507.2 6693.2 14.8355 739.78 2535.89 6700.24 8828.58 3138.67 267.479 0 
0 0.909999 8176.58 7052.64 14.1385 708.731 3000.95 7009.97 8804.48 2934.62 213.635 0 
0 0.919999 7819.8 7502.61 13.6024 676.233 3670.05 7584.37 8778.62 2651.71 174.117 0 
0 0.929999 7407.61 7818.64 13.1163 656.529 4224.94 8023.24 8766.89 2565.28 168.893 0 
0 0.939999 7017.15 8089.26 12.6214 688.099 4743.75 8436.89 8759.98 2542.38 172.197 0 
0 0.949999 6660.36 8406.17 12.1709 614.521 5239.77 8814.18 8758.33 2560.26 177.87 0 
0 0.959999 6364.85 8785.93 11.7612 622.097 5726.53 9109.76 8760.77 2589.6 183.106 0 
0 0.969999 6124.01 9120.09 11.3716 614.269 6163.68 9297.79 8766.44 2612.99 186.884 0 
0 0.979999 5935.79 9342.09 10.9796 612.695 6494.68 9350.73 8771.29 2644.09 187.003 0 
0 0.989999 5786.7 9366 10.7002 591.784 6647.45 9214.23 8777.51 2666.48 173.919 0 
0 0.999999 5692.74 9232.71 10.3954 575.789 6544.99 8796.81 8781.52 2697.87 176.436 0 
0.01 0 9958.34 9959.37 7124.57 6741.26 9710.37 9450.99 8614.73 3097.71 977.51 0 
0.01 0.01 9966.91 9971.18 7140.27 6639.78 9718.69 9445.93 8634.91 3237.83 980.773 0 
0.01 0.02 9974.05 9975.29 7137.13 6511.64 9680.33 9400.19 8657.48 3401.33 995.587 0 
0.01 0.03 9979.62 9964.69 7126.41 6363.55 9580.93 9215.3 8677.65 3542.4 1003.07 0 
0.01 0.04 9983.87 9929.47 7110.63 6181.96 9362.94 8986.09 8699.29 3703.53 1067.73 0 
0.01 0.05 9985.24 9867.25 7057.94 5970.63 9031.33 8746.88 8727.04 3808.42 1117.77 0 
0.01 0.06 9985.26 9783.41 6985.21 5755.92 8602.2 8424.91 8754.46 3947.45 1160.58 0 
0.01 0.07 9982.55 9666.38 6899.33 5515.35 8056.87 8117.17 8782.18 4120.01 1188.55 0 
0.01 0.08 9978.84 9534.08 6788.71 5272.95 7433.54 7863.24 8812.26 4273.16 1210.11 0 
0.01 0.09 9973.9 9376.09 6659.51 4999.91 6710.3 7564.4 8844.4 4476.13 1234.93 0 
0.01 0.1 9968.35 9205.41 6510.99 4737.58 5959.85 7293.62 8878.72 4646.47 1273.37 0 
0.01 0.11 9962.31 9020.72 6348.4 4455.45 5176.91 7020.71 8916.48 4884.11 1300.85 0 
0.01 0.12 9956.33 8836.15 6167.64 4175.19 4370.66 6792.89 8959.51 5118.19 1323.43 0 
0.01 0.13 9949.07 8638.91 5975.15 3891.94 3548.01 6539.25 9004.84 5378.87 1364.39 0 
0.01 0.14 9940.05 8433.86 5769.79 3613.69 2771.44 6384.68 9052.97 5652.44 1409.4 0 
0.01 0.15 9931.28 8233.99 5554.5 3348.62 2091.8 6184.55 9102.75 5929.89 1473.81 0 
0.01 0.16 9920.62 8143.2 5316.63 3106.58 1462.75 5895.47 9165.18 6179.74 1532.22 0 
0.01 0.17 9909.57 8117.59 5068.24 2880.49 994.336 5527.07 9226.56 6401.98 1637.4 0 
0.01 0.18 9897.27 8134.69 4805.51 2669.71 681.448 5043.31 9287.62 6658.15 1813.77 0 
0.01 0.19 9879.37 8261.13 4512.17 2463.2 498.15 4354.79 9336.83 6889.28 2105.96 0 
0.01 0.2 9833.17 8220.81 4218.67 2276.4 441.664 3741.43 9360.83 7056.02 1778.87 0 
0.01 0.21 9793.07 8059.92 3947.56 2110.21 404.556 3243.75 9394.46 7254.86 1691.78 0 
0.01 0.22 9737.17 7902.54 3683.97 1962.4 379.985 2939.91 9426.72 7447.58 1490.16 0 
0.01 0.23 9710.74 7751.86 3399.92 1842.93 360.682 2430.67 9430.05 7548.72 1037.51 0 
0.01 0.24 9698.79 7858.47 3176.5 1757.71 343.706 2053.11 9449.84 7671.24 934.867 0 
0.01 0.25 9666.84 6219.36 2659.51 1660.91 328.336 1035.08 9269.52 7682.19 720.984 0 
0.01 0.26 9641.03 6031.45 2510.25 1608.91 314.312 923.632 9282.21 7769.43 710.898 0 
0.01 0.27 9608.76 5840.56 2371.25 1567.62 301.131 836.551 9296.71 7848.91 716.82 0 
0.01 0.28 9567.5 5604.14 2238.9 1529.32 288.847 794.48 9309.55 7894.26 731.176 0 
0.01 0.29 9527.27 5526.45 2115.49 1494.12 277.305 766.029 9321.12 7960.05 739.325 0 
0.01 0.3 9466.31 5031.79 2001.92 1463.31 266.128 753.969 9347.93 8008.75 747.164 0 
0.01 0.31 9387.58 4222.14 1918.53 1443.42 255.012 781.399 9381.31 8012.53 764.426 0 
