w0 w1 height_keep balance_keep mimic_q mimic_dq cmd_linear cmd_angular torque torque_d contact terminal 
0 0.989999 5346.08 8840.57 10.6963 671.516 1449.64 9265.93 9014.91 3892.14 173.912 0 
0 0.999999 5234.92 8552.42 10.3931 655.783 1533.91 9050.67 9017.21 3927.66 176.405 0 
0.01 0 9927.04 9670.71 6635.04 5615.58 9199.8 9120.81 8683.75 3207.85 866.664 0 
0.01 0.01 9947.92 9796.77 6732.26 5619.22 9456.95 9260.88 8702.47 3413.42 918.056 0 
0.01 0.02 9961.92 9861.7 6774.27 5597.87 9570.19 9192.21 8726.78 3547.14 957.515 0 
0.01 0.03 9972.07 9888.52 6794.8 5552.19 9579.12 9064.78 8748.19 3715.84 996.663 0 
0.01 0.04 9978.62 9892.27 6789.54 5474.01 9457.1 8859.79 8773.83 3887.3 1007.44 0 
0.01 0.05 9982.66 9858.73 6768.83 5373.97 9212.01 8682.56 8797.09 4069.53 1024.51 0 
0.01 0.06 9984.62 9796.06 6728.05 5252 8835.01 8478.62 8819.06 4260.53 1046.6 0 
0.01 0.07 9984.97 9707.53 6668.29 5101.85 8313.27 8251.85 8843.37 4451.52 1076.44 0 
0.01 0.08 9983.46 9599.72 6588.93 4928.1 7671.88 7940.45 8870.32 4596.63 1107.6 0 
0.01 0.09 9980.37 9469.65 6492.77 4739.25 6936.51 7657.87 8897.71 4754.6 1140.11 0 
0.01 0.1 9975.28 9316.43 6373.12 4527.23 6100.1 7392.61 8927.67 4897.22 1187.75 0 
0.01 0.11 9968.85 9144.5 6236.98 4305.18 5237.01 7134.8 8959.29 5067.65 1234.58 0 
0.01 0.12 9962.61 8957.09 6080.57 4066.28 4398.99 6843.69 8995.49 5284.36 1273.33 0 
0.01 0.13 9955.02 8754.98 5907.93 3824.07 3598.82 6640.25 9032.79 5534.33 1317.36 0 
0.01 0.14 9944.48 8538.38 5725.11 3583.95 2819.21 6407.34 9070.77 5751.17 1372.41 0 
0.01 0.15 9935.08 8363.05 5519.81 3338.84 2099.52 6133.4 9118.52 5994.92 1426.84 0 
0.01 0.16 9922.83 8230.55 5293.56 3102.5 1450.53 5813.08 9173.48 6175.29 1505.05 0 
0.01 0.17 9909.64 8140.9 5060.8 2881.66 988.061 5513.43 9228.82 6394.9 1617.81 0 
0.01 0.18 9897.2 8142.12 4803.75 2668.85 679.604 5035.85 9288.08 6655.53 1812.75 0 
0.01 0.19 9879.34 8263.85 4510.82 2463.12 497.598 4345.4 9336.81 6887.27 2097.97 0 
0.01 0.2 9823.71 8142.61 4193.65 2264.73 440.602 3614.98 9361.85 7072.96 1755.1 0 
0.01 0.21 9774.39 8015.14 3940.21 2102.33 404.152 3207.88 9397.65 7308.75 1707.5 0 
0.01 0.22 9747.35 7918.07 3680.42 1953.43 379.961 2961.1 9435.95 7472.25 1494.52 0 
0.01 0.23 9726.82 7800.87 3363.4 1836.77 360.682 2285.95 9424.64 7566.46 1038.74 0 
0.01 0.24 9720.4 7930.42 3121.22 1755.19 343.706 1866.26 9424.29 7662.17 866.389 0 
0.01 0.25 9714.1 6938.17 2735.98 1678.36 328.336 1093.23 9324.04 7713.33 774.076 0 
0.01 0.26 9694.62 6675.53 2581.43 1626.27 314.312 925.616 9333.28 7792.33 776.764 0 
0.01 0.27 9670.17 6417.06 2443.58 1580.78 301.131 839.79 9352.14 7881.34 792.892 0 
0.01 0.28 9642.07 6091.04 2302.56 1537.81 288.847 800.386 9366.23 7947.76 817.307 0 
0.01 0.29 9607.04 6053.71 2178.62 1505.66 277.305 774.953 9375.49 8010.3 850.733 0 
0.01 0.3 9569.03 5979.04 2055.81 1476.97 266.128 755.135 9382.88 8085.73 882.118 0 
0.01 0.31 9533.81 5927.38 1942.02 1454.37 255.012 743.848 9388.78 8147.03 915.639 0 
0.01 0.32 9487.38 5916.48 1833.67 1437.44 244.964 740.152 9392.57 8196.7 918.041 0 
0.01 0.33 9447.77 5913.81 1732.53 1428.64 234.92 741.424 9398.49 8264.83 884.774 0 
0.01 0.34 9389.3 5677.82 1651.79 1407.43 225.369 763.031 9416.56 8318.6 884.745 0 
0.01 0.35 9307.77 5101.78 1603.28 1387.88 216.52 801.216 9450.67 8344.14 906.186 0 
0.01 0.36 9281.33 4965.85 1551.02 1373.89 207.463 856.899 9465.26 8405.21 964.301 0 
0.01 0.37 9267.69 5115.74 1491.69 1362.24 199.464 913.151 9477.58 8469.52 1044.51 0 
0.01 0.38 9262.11 5418.42 1429.74 1354.68 191.212 1010.78 9490.93 8523.65 1177.77 0 
0.01 0.39 9267.96 5916.68 1366.22 1349.8 183.685 1153.93 9507.52 8584.51 1402.9 0 
0.01 0.4 9304.92 6862.63 1302.33 1335.24 177.286 1410.81 9530.21 8633.05 1885.73 0 
0.01 0.41 9380.57 7853.85 1243.71 1332.15 171.045 2449.26 9617.97 8761.79 3182.36 0 
0.01 0.42 9376.36 7968.82 1172.57 1322.71 164.857 3436.57 9665.51 8868.45 3571.32 0 
0.01 0.43 9358.53 8031.09 1103.28 1314.19 159.416 3883.19 9688.51 8940.82 3873.79 0 
0.01 0.44 9339.2 8094.19 1037.89 1306.53 154.904 4229.6 9707.74 9007.06 4170.83 0 
0.01 0.45 9318.91 8152.49 976.632 1299.67 151.055 4511.97 9724.9 9065.76 4459.27 0 
0.01 0.46 9298.08 8218.7 919.924 1293.24 148.27 4728.55 9740.11 9124.15 4675.49 0 
0.01 0.47 9277.74 8283 867.164 1287.16 146.112 4951.89 9755.35 9174.96 4805.12 0 
0.01 0.48 9257.53 8337.85 818.474 1281.71 144.648 5179.14 9768.62 9230.12 4929.83 0 
0.01 0.49 9238.75 8395.43 773.606 1276.89 143.955 5421.06 9782.1 9280.32 5045.25 0 
0.01 0.5 9221.93 8436.44 732.293 1272.93 143.591 5658.65 9794.57 9330.32 5168.3 0 
0.01 0.51 9208.17 8477.94 693.308 1269.47 143.147 5792.02 9805.8 9374.73 5282.05 0 
0.01 0.52 9195.32 8491.7 657.966 1266.97 142.785 5984.48 9815.95 9417.2 5369.95 0 
0.01 0.53 9185.11 8483.32 626.072 1265.16 142.592 6130.29 9825.34 9457.25 5446.12 0 
0.01 0.54 9178.38 8447.49 596.574 1263.55 142.64 6217.72 9834.22 9500.06 5491.93 0 
0.01 0.55 9174.82 8383.52 568.905 1261.57 143.251 6269.98 9841.62 9538.03 5467.28 0 
0.01 0.56 9174.04 8295.85 542.07 1259.83 144.279 6312.34 9847.5 9581.84 5426.24 0 
0.01 0.57 9176.31 8184.31 515.668 1258.56 146.008 6340.8 9851.98 9621.1 5363.22 0 
0.01 0.58 9181.65 8052.88 489.655 1257.7 147.815 6359.82 9853.79 9659.95 5259.54 0 
0.01 0.59 9190.58 7906.95 462.861 1257.53 149.773 6372.46 9853.4 9692.73 5129.22 0 
0.01 0.6 9202.78 7753.71 435.018 1257.29 152.033 6383.46 9851.63 9721.13 4988.18 0 
0.01 0.61 9217.64 7584.8 406.786 1257.02 154.199 6397.8 9847.76 9747.26 4806.09 0 
0.01 0.62 9236.18 7390.22 378.583 1257.28 156.585 6408.06 9842 9772.76 4576.49 0 
0.01 0.63 9257.09 7161.8 350.549 1257.61 159.164 6414.16 9834.97 9803.12 4322.84 0 
0.01 0.64 9279.72 6856.21 323.129 1257.97 161.608 6431.61 9825.82 9829.45 4088.59 0 
0.01 0.65 9307.55 6479.42 296.299 1259.7 164.131 6431.85 9812.99 9849.47 3918.27 0 
0.01 0.66 9340.32 5999.23 270.693 1262.98 166.85 6347.33 9792.67 9878.64 3691.71 0 
0.01 0.67 9352.18 5149.91 249.084 1261.81 169.297 6363.38 9765.79 9870.05 3256.84 0 
0.01 0.68 9391.5 2731 229.872 1256.75 172.301 6078.43 9670.24 9834.45 2339.42 0 
0.01 0.69 9449.55 2343.67 205.25 1255.95 175.6 6266.44 9653.9 9833.26 2221.66 0 
0.01 0.7 9510.73 2271.4 180.897 1259.2 178.792 6338.83 9651.61 9842.64 2052.02 0 
0.01 0.71 9571.14 2418.37 156.223 1260.53 182.047 6310.44 9664.3 9865.21 1899.32 0 
0.01 0.72 9627.66 2518.67 134.153 1262.58 185.541 6390.86 9673.53 9876.62 1777.63 0 
0.01 0.73 9680.92 2621.72 114.571 1264.13 188.744 6528.62 9681.54 9880.76 1682.64 0 
0.01 0.74 9731.27 2691.61 97.1336 1264.44 191.9 6662.97 9687.08 9884.44 1581.9 0 
0.01 0.75 9774.35 2652.12 82.3218 1264.58 194.674 6720.94 9687.02 9888.68 1487.69 0 
0.01 0.76 9813.32 2544.83 69.6802 1261.16 197.34 6700.29 9682.4 9892.11 1426.18 0 
0.01 0.77 9849.83 2450.71 58.7856 1257.83 199.998 6648.69 9675.78 9895.25 1401.66 0 
0.01 0.78 9880.92 2485.8 49.4164 1254.58 202.731 6640.09 9672.81 9896.52 1391.04 0 
0.01 0.79 9908.99 3644.33 40.8565 1249.77 205.358 7674.91 9700.62 9882.06 1481.48 0 
0.01 0.8 9904.51 3632.77 34.6992 1248.62 208.138 7711.51 9688.51 9880.11 1462.68 0 
0.01 0.81 9870.24 3487.16 29.7278 1248.3 210.186 7392.37 9674 9886.69 1298.54 0 
0.01 0.82 9799.77 3298.24 25.9902 1249.7 212.283 6878.59 9655.85 9878.22 1037.31 0 
0.01 0.83 9682.32 2799.75 23.1572 1247.57 213.897 6404.33 9630.29 9837.79 830.388 0 
0.01 0.839999 3067.6 7714.61 29.8454 928.344 215.443 8571.37 9453.4 5907.46 417.432 0 
0.01 0.849999 9467.07 5164.02 19.6609 913.736 235.851 5604.22 9150.47 4522.33 404.396 0 
0.01 0.859999 9271.9 5390.94 18.3778 876.126 248.096 5760.03 9107.11 4197.14 368.266 0 
0.01 0.869999 9044.46 5596.04 17.3023 847.932 262.997 5966.17 9072.78 3959.99 323.293 0 
0.01 0.879999 8766.31 5839.06 16.3635 830.994 282.432 6214.33 9045.86 3844.16 294.252 0 
0.01 0.889999 8440.07 6097.46 15.5171 803.277 306.71 6492.73 9025.01 3779.01 288.463 0 
0.01 0.899999 8073.91 6331.08 14.7426 796.575 339.139 6768.46 9008.25 3737.21 276.904 0 
0.01 0.909999 7673.28 6681.59 14.0593 761.284 392.297 7096.64 8993.16 3591.53 231.917 0 
0.01 0.919999 7239.67 7125.47 13.5172 725.06 512.396 7543.32 8978.81 3426.93 175.52 0 
0.01 0.929999 6810.95 7475.02 13.047 689.22 627.678 7882.5 8976.01 3440 168.972 0 
0.01 0.939999 6426.55 7844.61 12.5687 703.949 752.486 8186.52 8978.06 3516.48 171.54 0 
