x z pitch q0 q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 dq0 dq1 dq2 dq3 dq4 dq5 dq6 dq7 dq8 dq9 dq10 dq11 roll 
0.00694637 0.28 0 0 -0.943092 1.87962 0 -0.899118 1.7093 0 -0.899118 1.7093 0 -0.943092 1.87962 0 8.7577 -14.8024 0 -1.01344 -0.0369467 0 -1.01344 -0.0369467 0 8.7577 -14.8024 0 
0.00731943 0.28 0 4.75803e-17 -0.926814 1.85225 0 -0.901145 1.70922 0 -0.901145 1.70922 -4.75803e-17 -0.926814 1.85225 2.37902e-14 8.13902 -13.6862 0 -1.01342 -0.0407488 0 -1.01342 -0.0407488 -2.37902e-14 8.13902 -13.6862 0 
0.00770211 0.28 0 0 -0.911954 1.82747 0 -0.903159 1.70913 0 -0.903159 1.70913 0 -0.911954 1.82747 -2.37902e-14 7.42984 -12.3875 0 -1.00721 -0.0442905 0 -1.00721 -0.0442905 2.37902e-14 7.42984 -12.3875 0 
0.00809441 0.28 0 0 -0.898615 1.8055 0 -0.905149 1.70903 0 -0.905149 1.70903 0 -0.898615 1.8055 0 6.66955 -10.9844 0 -0.994562 -0.0474656 0 -0.994562 -0.0474656 0 6.66955 -10.9844 0 
0.00849631 0.28 0 0 -0.886828 1.78641 0 -0.907099 1.70893 0 -0.907099 1.70893 0 -0.886828 1.78641 0 5.89383 -9.54851 0 -0.975203 -0.0501641 0 -0.975203 -0.0501641 0 5.89383 -9.54851 0 
0.00890782 0.28 0 0 -0.876562 1.77012 0 -0.908997 1.70883 0 -0.908997 1.70883 0 -0.876562 1.77012 0 5.1329 -8.14167 0 -0.948877 -0.0522736 0 -0.948877 -0.0522736 0 5.1329 -8.14167 0 
0.00932891 0.28 0 0 -0.867741 1.7565 0 -0.910827 1.70872 0 -0.910827 1.70872 0 -0.867741 1.7565 0 4.41038 -6.81305 0 -0.915327 -0.0536818 0 -0.915327 -0.0536818 0 4.41038 -6.81305 0 
0.00975958 0.28 0 0 -0.860255 1.7453 0 -0.912576 1.70861 0 -0.912576 1.70861 0 -0.860255 1.7453 0 3.7428 -5.5981 0 -0.874295 -0.0542787 0 -0.874295 -0.0542787 0 3.7428 -5.5981 0 
0.0101998 0.28 0 0 -0.853976 1.73626 0 -0.914227 1.7085 0 -0.914227 1.7085 0 -0.853976 1.73626 0 3.13989 -4.51878 0 -0.825521 -0.0539591 0 -0.825521 -0.0539591 0 3.13989 -4.51878 0 
0.0106496 0.28 0 -4.14192e-17 -0.848765 1.72909 0 -0.915765 1.7084 0 -0.915765 1.7084 4.14192e-17 -0.848765 1.72909 -2.07096e-14 2.6053 -3.58492 0 -0.768742 -0.052626 0 -0.768742 -0.052626 2.07096e-14 2.6053 -3.58492 0 
0.011109 0.28 0 0 -0.84449 1.7235 0 -0.917172 1.7083 0 -0.917172 1.7083 0 -0.84449 1.7235 2.07096e-14 2.13772 -2.79633 0 -0.703692 -0.0501933 0 -0.703692 -0.0501933 -2.07096e-14 2.13772 -2.79633 0 
0.0115779 0.28 0 0 -0.841025 1.71921 0 -0.918432 1.70821 0 -0.918432 1.70821 0 -0.841025 1.71921 0 1.73215 -2.14524 0 -0.630094 -0.04659 0 -0.630094 -0.04659 0 1.73215 -2.14524 0 
0.0120563 0.28 0 0 -0.838263 1.71597 0 -0.919527 1.70812 0 -0.919527 1.70812 0 -0.838263 1.71597 0 1.38117 -1.61879 0 -0.547662 -0.0417636 0 -0.547662 -0.0417636 0 1.38117 -1.61879 0 
0.0125442 0.28 0 0 -0.833362 1.70805 0 -0.923466 1.71357 0 -0.923466 1.71357 0 -0.833362 1.70805 0 2.45055 -3.96098 0 -1.96907 2.72406 0 -1.96907 2.72406 0 2.45055 -3.96098 0 
0.0130417 0.28 0 0 -0.832589 1.70799 0 -0.92546 1.71584 0 -0.92546 1.71584 0 -0.832589 1.70799 0 0.386228 -0.0284621 0 -0.99738 1.13702 0 -0.99738 1.13702 0 0.386228 -0.0284621 0 
0.0135486 0.28 0 0 -0.832038 1.70795 0 -0.927704 1.71896 0 -0.927704 1.71896 0 -0.832038 1.70795 0 0.275579 -0.0205922 0 -1.12159 1.5563 0 -1.12159 1.5563 0 0.275579 -0.0205922 0 
0.0140651 0.28 0 0 -0.831712 1.70793 0 -0.930314 1.72313 0 -0.930314 1.72313 0 -0.831712 1.70793 0 0.163308 -0.0123144 0 -1.30524 2.08612 0 -1.30524 2.08612 0 0.163308 -0.0123144 0 
0.014591 0.28 0 0 -0.831612 1.70792 4.14192e-17 -0.933428 1.72861 -4.14192e-17 -0.933428 1.72861 0 -0.831612 1.70792 0 0.0498162 -0.00377295 2.07096e-14 -1.55714 2.74203 -2.07096e-14 -1.55714 2.74203 0 0.0498162 -0.00377295 0 
0.0151264 0.28 0 0 -0.831741 1.70793 4.1735e-17 -0.937197 1.73569 -4.1735e-17 -0.937197 1.73569 0 -0.831741 1.70793 0 -0.0644843 0.0048824 1.57905e-16 -1.88453 3.5367 -1.57905e-16 -1.88453 3.5367 0 -0.0644843 0.0048824 0 
